,IATA,ICAO,Airline,Call sign,Country/Region,Comments
518,HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine,defunct
519,J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan,
520,U3,AIA,Avies,AVIES,Estonia,
521,4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France,
522,KJ,AIH,Air Incheon,AIR INCHEON,South Korea,
523,RS,ASV,Air Seoul,AIR SEOUL,South Korea,
524,,AIK,African Airlines International Limited,AFRICAN AIRLINES,Kenya,
525,,AIN,African International Airways,FLY CARGO,Eswatini,
526,5A,AIP,Alpine Air Express,ALPINE AIR,United States,
527,,AIU,Alicante Internacional Airlines,ALIA,Spain,
528,ED*,ABQ,Airblue,PAKBLUE,Pakistan,
529,,THM,Airmark Aviation,THAI AIRMARK,Thailand,
530,,AIR,Airlift International,AIRLIFT,United States,defunct
531,,AIT,Airest,,Estonia,
532,,AIV,Airvias S/A Linhas Aéreas,AIRVIAS,Brazil,
533,W4,BES,Aero Services Executive,BIRD EXPRESS,France,
534,,AIW,Atlantic Island Airways,TARTAN,Canada,
535,,AIX,Aircruising Australia,CRUISER,Australia,
536,,AIY,Aircrew Check and Training Australia,AIRCREW,Australia,
537,IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel,
538,,AJA,Afghan Jet International Airlines,AFGHAN JET,Afghanistan,
539,,AJB,Aero JBR,AERO JBR,Mexico,
540,,AJE,Aero Jet Express,JET EXPRESS,Mexico,defunct
541,,AJI,Ameristar Jet Charter,AMERISTAR,United States,
542,,AJK,Allied Air,BAMBI,Nigeria,
543,,AJO,Aero Ejecutivo,AEROEXO,Mexico,defunct
544,,AJS,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia,Aeroejecutivos Aeroservicios Ejecutivos
545,M6,AJT,Amerijet International,AMERIJET,United States,
546,,AJV,ANA & JP Express,AYJAY CARGO,Japan,merged into Air Japan
547,,AJW,Alpha Jet International,ALPHAJET,United States,
548,,AJY,AJet,AYJET,Cyprus,"defunct, ICAO code no longer allocated"
549,,AKB,Aktjubavia,KARAB,Kazakhstan,
550,,AKC,Arca Aerovías Colombianas Ltda.,ARCA,Colombia,
551,,AKF,Anikay Air Company,ANIKAY,Kyrgyzstan,
552,,AKH,Akhal,AKHAL,Turkmenistan,
553,,MNI,Aeromilenio,AEROMIL,Mexico,
554,,AKK,Aklak Air,AKLAK,Canada,
555,4A,AKL,Air Kiribati,,Kiribati,
556,,AKN,Alkan Air,ALKAN AIR,Canada,
557,,AKW,Angkor Airways,ANGKORWAYS,Cambodia,defunct
558,,AKZ,AK Navigator LLC,ABSOLUTE,Kazakhstan,ICAO code no longer allocated
559,,ALB,Aero Albatros,ALBATROS,Mexico,
560,,ALD,Albion Aviation,ALBION,United Kingdom,
561,,ALE,Aeroalas Colombia,AEROALAS,Colombia,defunct
562,,ALF,Allied Command Europe (Mobile Force),ACEFORCE,Belgium,
563,,FYS,American Flyers,AMERICAN FLYERS,United States,
564,,DFA,Aero Coach Aviation,AERO COACH,United States,
565,EV,ASQ,Atlantic Southeast Airlines,ACEY,United States,Merged into ExpressJet Airlines
566,,ALG,Air Logistics,AIRLOG,United States,
